AffixName|AffixID|Type1|Property1|T1|T2|T3|T4|T5|T6|T7|Type2|Property2|MT1|MT2|MT3|MT4|MT5|MT6|MT7
Acolyte Level of Bone Curse|635|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Death Seal|636|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Mage Level of Ice Barrage|637|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|FreezeRateMultiplier|0.15-0.25|0.26-0.4|0.41-0.65|0.66-1|1.01-1.4|1.5-2|2.01-2.6
Rogue Level of Dark Quiver|638|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|5-8|9-12|13-16|17-20|21-25|26-32|33-40
Sentinel Level of Shield Bash|639|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Level of Dread Shade|571|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|8-12|13-18|19-24|25-30|31-38|45-51|52-60
Mage Level of Firebrand|593|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Rogue Level of Ballista|640|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|AbilityProperty|0.03-0.05|0.06-0.08|0.09-0.12|0.13-0.16|0.17-0.2|0.21-0.24|0.25-0.3
Rogue Level of Lethal Mirage|641|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Rogue Level of Smoke Bomb|642|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|Mana|8-12|13-18|19-24|25-30|31-38|45-51|52-60
Primalist Level of Warcry|644|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|ADDED|EnduranceThreshold|10-20|21-32|33-45|46-60|61-75|90-115|116-150
Mage Level of Surge|645|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Summon Storm Crow|646|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Acolyte Level of Summon Volatile Zombie|647|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Acolyte Volatile Zombie Speed and Damage|649|ADDED|AbilityProperty|0.13-0.16|0.17-0.2|0.21-0.24|0.26-0.29|0.3-0.35|0.4-0.5|0.51-0.65|ADDED|AbilityProperty|0.3-0.39|0.4-0.5|0.51-0.64|0.65-0.8|0.81-1|1.31-1.6|1.61-2
Acolyte Volatile Zombie Damage and Explosion Area|650||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Freeze Rate and Freezing Concoction on Potion Use|67|ADDED|FreezeRateMultiplier|0.2-0.35|0.36-0.6|0.61-0.9|0.91-1.3|1.31-1.8|2.3-3|3.01-4|ADDED|PlayerProperty|1-1|1-1|1-1|1-1|1-1|1-1|1-1
Ward and Ailment Cleansing on Potion Use|75|ADDED|WardOnPotionUse|20-30|31-40|51-60|61-75|76-100|130-170|171-220|ADDED|PlayerProperty|1-1|1-1|1-1|1-1|1-1|1-1|1-1
Sentinel Level of Multistrike|652|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Void Cleave|653|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Sentinel Level of Javelin|654|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Primalist Level of Swarmblade Form|660|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Primalist Level of Upheaval|661|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.08-0.15|0.16-0.3|0.31-0.45|0.46-0.6|0.61-0.9|1.06-1.2|1.21-1.5
Rogue Level of Umbral Blades|662|ADDED|LevelOfSkills|1-1|1-1|1-1|1-1|2-2|3-3|4-4|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.6|0.71-0.8|0.81-1
Idol Primalist Melee Physical Damage For Swarm Strike and Locusts|664||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Lightning Damage with Shurikens|518||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Lightning Damage with Shurikens|519|ADDED|AbilityProperty|6-8|9-11|12-15|16-19|20-27|32-37|38-44|ADDED|AbilityProperty|0.5-0.51|0.52-0.53|0.54-0.55|0.56-0.57|0.58-0.6|0.61-0.62|0.63-0.64
Crit Chance and Bow Attack Speed|672|ADDED|CriticalChance|0.01-0.01|0.02-0.02|0.03-0.03|0.04-0.04|0.05-0.05|0.07-0.08|0.09-0.1|INCREASED|AttackSpeed|0.03-0.04|0.05-0.06|0.07-0.08|0.09-0.11|0.12-0.16|0.19-0.23|0.24-0.28
