AffixName|AffixID|AffixTitle|canRollOn|rerollChance|T1|T2|T3|T4|T5|T6|T7|Type|HueShift|Saturation|Group
Idol Rogue Increased Area of mirage attacks with Lethal Mirage|538|Deceiving|IDOL_2x2|0|0.14-0.35|||||||PREFIX|0|0|PassiveDefense
Primalist Level of Swipe|539||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.06|-0.271|OffensiveAbility
Primalist Level of Summon Wolf|540||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.331|-0.72|OffensiveAbility
Primalist Level of Tornado|541||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.067|-0.71|OffensiveAbility
Primalist Level of Fury Leap|542||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.05|-0.278|OffensiveAbility
Primalist Level of Summon Thorn Totem|543||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.045|-0.217|OffensiveAbility
Primalist Level of Summon Spriggan|544||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.044|-0.288|OffensiveAbility
Primalist Level of Summon Frenzy Totem|545||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.149|-0.329|DefensiveAbility
Mage Level of Elemental Nova|546||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.054|-0.172|OffensiveAbility
Mage Level of Mana Strike|547||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.64|-0.256|OffensiveAbility
Mage Fireball Pierce Chance|548||HELMET|0.89|0.12-0.19|0.2-0.27|0.28-0.35|0.36-0.45|0.46-0.6|0.65-0.79|0.8-1|PREFIX|0.076|0.018|OffensiveAbility
Mage Level of Fireball|549||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.064|-0.196|OffensiveAbility
Mage Level of Glacier|550||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.567|-0.675|OffensiveAbility
Mage Level of Meteor|551||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.032|-0.283|OffensiveAbility
Mage Level of Teleport|552||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.708|-0.485|DefensiveAbility
Mage Level of Volcanic Orb|553||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.054|0.038|OffensiveAbility
Mage Level of Black Hole|554||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.614|0.02|OffensiveAbility
Primalist Level of Summon Bear|555||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.029|-0.673|OffensiveAbility
Mage Level of Static Orb|556||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.642|-0.187|OffensiveAbility
Mage Level of Lightning Blast|557||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.649|-0.031|OffensiveAbility
Primalist Level of Serpent Strike|558||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.35|-0.045|OffensiveAbility
Primalist Level of Entangling Roots|559||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.021|-0.257|OffensiveAbility
Sentinel Level of Anomaly|560||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.735|-0.014|OffensiveAbility
Sentinel Level of Warpath|561||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.033|-0.591|OffensiveAbility
Sentinel Level of Devouring Orb|562||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.75|-0.319|OffensiveAbility
Sentinel Level of Rive|563||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.061|-0.102|OffensiveAbility
Sentinel Level of Hammer Throw|564||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.038|-0.353|OffensiveAbility
Sentinel Level of Shield Rush|565||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.049|-0.602|OffensiveAbility
Sentinel Level of Volatile Reversal|566||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.744|-0.064|OffensiveAbility
Sentinel Level of Abyssal Echoes|567||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.753|-0.058|OffensiveAbility
Sentinel Level of Erasing Strike|568||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.766|-0.028|OffensiveAbility
Sentinel Level of Vengeance|569||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.08|-0.718|OffensiveAbility
Sentinel Level of Shield Throw|570||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.071|-0.48|OffensiveAbility
Acolyte Level of Dread Shade|571||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.42|-0.71|DefensiveAbility
Acolyte Level of Summon Skeleton|572||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.478|-0.622|OffensiveAbility
Acolyte Level of Infernal Shade|573||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.063|-0.01|OffensiveAbility
Acolyte Level of Sacrifice|574||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.031|-0.507|OffensiveAbility
Mage Level of Focus|575||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.598|-0.66|DefensiveAbility
Acolyte Level of Aura Of Decay|576||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.293|-0.323|DefensiveAbility
Acolyte Level of Hungering Souls|577||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.478|-0.208|OffensiveAbility
Acolyte Level of Rip Blood|578||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.984|-0.51|OffensiveAbility
Acolyte Level of Summon Wraith|579||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.035|-0.114|OffensiveAbility
Acolyte Level of Summon Bone Golem|580||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.159|-0.72|OffensiveAbility
Acolyte Level of Wandering Spirits|581||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.491|-0.126|OffensiveAbility
Acolyte Level of Marrow Shards|582||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.068|-0.81|OffensiveAbility
Acolyte Level of Transplant|583||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0|-0.36|OffensiveAbility
Mage Level of Flame Reave|584||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.048|0.003|OffensiveAbility
Primalist Level of Summon Storm Totem|585||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.649|-0.157|OffensiveAbility
Acolyte Level of Soul Feast|586||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.478|-0.164|OffensiveAbility
Mage Level of Snap Freeze|587||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.558|-0.491|OffensiveAbility
Sentinel Level of Lunge|588||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.06|-0.833|OffensiveAbility
Sentinel Level of Rebuke|589||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.076|-0.74|OffensiveAbility
Primalist Level of Summon Sabertooth|590||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.076|-0.154|OffensiveAbility
Primalist Level of Summon Scorpion|591||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.285|-0.67|OffensiveAbility
Sentinel Level of Ring Of Shields|592||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.126|-0.42|DefensiveAbility
Mage Level of Firebrand|593||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.065|-0.061|OffensiveAbility
Acolyte Level of Harvest|594||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.489|-0.276|OffensiveAbility
Primalist Level of Eterra's Blessing|595||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.234|-0.168|DefensiveAbility
Sentinel Level of Judgement|596||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.139|-0.24|OffensiveAbility
Mage Level of Shatter Strike|597||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.555|-0.41|OffensiveAbility
Mage Level of Enchant Weapon|598||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.187|-0.175|DefensiveAbility
Primalist Level of Avalanche|599||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.525|-0.65|OffensiveAbility
Sentinel Level of Sigils Of Hope|600||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.148|-0.376|DefensiveAbility
Sentinel Level of Holy Aura|601||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.17|-0.603|DefensiveAbility
Primalist Level of Werebear Form|602||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.086|-0.4|DefensiveAbility
Sentinel Level of Smite|603||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.114|-0.265|OffensiveAbility
Sentinel Level of Manifest Armor|604||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.567|-0.87|OffensiveAbility
Sentinel Level of Forge Strike|605||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.737|-0.822|DefensiveAbility
Primalist Level of Spriggan Form|606||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.383|-0.488|DefensiveAbility
Acolyte Level of Reaper Form|607||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.431|-0.65|DefensiveAbility
Rogue Level of Acid Flask|608||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.375|-0.093|OffensiveAbility
Rogue Level of Shadow Cascade|609||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.671|-0.5|OffensiveAbility
Rogue Level of Flurry|610||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.025|-0.4|OffensiveAbility
Rogue Level of Shurikens|611||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.301|-0.822|OffensiveAbility
Rogue Level of Dancing Strikes|612||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.028|-0.135|OffensiveAbility
Rogue Level of Multishot|613||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.061|-0.347|OffensiveAbility
Rogue Level of Puncture|614||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.007|-0.46|OffensiveAbility
Rogue Level of Decoy|615||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.08|0.049|OffensiveAbility
Rogue Level of Cinder Strike|616||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.065|-0.066|OffensiveAbility
Rogue Level of Detonating Arrow|617||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.64|-0.045|OffensiveAbility
Rogue Level of Hail of Arrows|618||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.026|-0.716|OffensiveAbility
Rogue Level of Shift|619||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.979|-0.652|DefensiveAbility
Rogue Level of Synchronized Strike|620||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.05|-0.834|OffensiveAbility
Primalist Level of Tempest Strike|621||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.604|-0.177|OffensiveAbility
Primalist Level of Ice Thorns|622||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.526|-0.75|OffensiveAbility
Acolyte Level of Summon Skeletal Mage|623||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.48|0.044|OffensiveAbility
Mage Level of Static|624||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.607|-0.26|OffensiveAbility
Mage Level of Disintegrate|625||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.064|-0.307|OffensiveAbility
Primalist Level of Maelstrom|626||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.542|-0.294|OffensiveAbility
Primalist Level of Summon Raptor|627||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.022|-0.686|OffensiveAbility
Mage Level of Flame Ward|628||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.028|-0.059|OffensiveAbility
Primalist Level of Earthquake|629||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.049|-0.31|OffensiveAbility
Mage Level of Arcane Ascendance|630||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.556|-0.696|DefensiveAbility
Sentinel Level of Smelter's Wrath|631||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.043|-0.267|OffensiveAbility
Acolyte Level of Drain Life|632||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.446|0.049|OffensiveAbility
Acolyte Level of Assemble Abomination|633||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0|-0.35|DefensiveAbility
Acolyte Level of Spirit Plague|634||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.456|-0.11|OffensiveAbility
Acolyte Level of Bone Curse|635||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.078|-0.82|OffensiveAbility
Acolyte Level of Death Seal|636||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.482|0.027|OffensiveAbility
Mage Level of Ice Barrage|637||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.574|-0.81|OffensiveAbility
Rogue Level of Dark Quiver|638||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.687|-0.75|DefensiveAbility
Sentinel Level of Shield Bash|639||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.053|-0.134|OffensiveAbility
Rogue Level of Ballista|640||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.063|-0.734|OffensiveAbility
Rogue Level of Lethal Mirage|641||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.034|-0.784|OffensiveAbility
Rogue Level of Smoke Bomb|642||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.605|-0.81|DefensiveAbility
Increased Minion Melee Damage|643|of Brutality|ONE_HANDED_SWORD,TWO_HANDED_SWORD,ONE_HANDED_AXE,TWO_HANDED_AXE,TWO_HANDED_SPEAR|0.5|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|SUFFIX|0.097|-0.22|OffensiveIncrease
Primalist Level of Warcry|644||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.022|0|DefensiveAbility
Mage Level of Surge|645||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.565|-0.35|DefensiveAbility
Primalist Level of Summon Storm Crow|646||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.015|-0.512|OffensiveAbility
Acolyte Level of Summon Volatile Zombie|647||HELMET|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.041|0.15|OffensiveAbility
Primalist Storm Crow Added Spell Damage|648||HELMET|0.89|4-5|6-7|8-9|10-11|12-14|17-20|21-25|PREFIX|0.569|-0.407|OffensiveAbility
Acolyte Volatile Zombie Speed and Damage|649||BODY_ARMOR|0.89|0.13-0.16|0.17-0.2|0.21-0.24|0.26-0.29|0.3-0.35|0.4-0.5|0.51-0.65|PREFIX|0.223|-0.627|OffensiveAbility
Acolyte Volatile Zombie Damage and Explosion Area|650||IDOL_4x1|0|0.15-0.35|||||||PREFIX|0|0|PassiveDefense
Mage Idol Cooldown Recovery Speed for Surge|651|Tumultuous|IDOL_4x1|0|0.06-0.18|||||||PREFIX|0|0|PassiveDefense
Sentinel Level of Multistrike|652||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.123|-0.039|OffensiveAbility
Sentinel Level of Void Cleave|653||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.698|0.061|OffensiveAbility
Sentinel Level of Javelin|654||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.954|-0.039|OffensiveAbility
Sentinel Added Lightning Throwing Damage with Javelin|655||HELMET|0.89|6-7|8-10|11-13|14-17|18-22|29-34|35-44|PREFIX|0.158|0|OffensiveAbility
Sentinel Endurance While Warpathing|656||BODY_ARMOR|0.89|0.07-0.1|0.11-0.14|0.15-0.18|0.19-0.23|0.24-0.3|0.3-0.3|0.3-0.3|PREFIX|0.488|-0.2|Hybrid
Idol Mage Added Static Orb Tendrils|657|Discharging|IDOL_3x1|0|2-4|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Percent Missing Health Restored On Lunge|658|of Defiance|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.05-0.12|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Chance For Additional Multistrike Swords|659|Arming|IDOL_1x4|0|0.15-0.5|||||||PREFIX|0|0|PassiveDefense
Primalist Level of Swarmblade Form|660||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.753|-0.81|DefensiveAbility
Primalist Level of Upheaval|661||BODY_ARMOR|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.071|-0.42|OffensiveAbility
Rogue Level of Umbral Blades|662||RELIC|0.86|1-1|1-1|1-1|1-1|2-2|3-3|4-4|PREFIX|0.954|-0.3|PassiveDefense
Primalist Armour Shred Chance for Locusts|663||BODY_ARMOR|0.89|0.14-0.19|0.2-0.27|0.28-0.35|0.36-0.45|0.46-0.6|0.75-0.9|0.91-1.2|PREFIX|0.954|-0.38|OffensiveAbility
Idol Primalist Melee Physical Damage For Swarm Strike and Locusts|664|Swarm King's|IDOL_2x2|0|3-8|||||||PREFIX|0|0|PassiveDefense
Primalist Upheaval Shockwave Chance|665||BODY_ARMOR|0.89|0.14-0.19|0.2-0.25|0.26-0.32|0.33-0.39|0.4-0.6|0.76-0.87|0.88-1|PREFIX|0.02|-0.29|OffensiveAbility
Primalist Attack and Cast Speed for Summoned Vines|666||HELMET|0.89|0.07-0.09|0.1-0.12|0.13-0.16|0.17-0.2|0.21-0.26|0.33-0.39|0.4-0.5|PREFIX|0.235|-0.34|OffensiveAbility
Primalist Critical Strike Chance with Rampage|667||BODY_ARMOR|0.89|0.03-0.03|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.08|0.1-0.11|0.12-0.15|PREFIX|0.574|-0.34|OffensiveAbility
Idol Rogue Increased Umbral Blades Damage per stack of Dusk Shroud|668|Duskblade's|IDOL_4x1|0|0.04-0.08|||||||PREFIX|0|0|PassiveDefense
Added Bow Lightning Damage|669|Saboteur's|BOW,CROSSBOW,QUIVER|0.55|2-3|4-5|6-7|8-9|10-12|15-19|20-24|PREFIX|0.578|0.33|OffensiveAddition
Added Bow Cold Damage|670|Hunter's|BOW,CROSSBOW,QUIVER|0.6|2-3|4-5|6-7|8-9|10-12|15-19|20-24|PREFIX|0.578|-0.83|PassiveDefense
Area for Melee Area Skills|671|of Conquest|TWO_HANDED_AXE,TWO_HANDED_MACE,TWO_HANDED_SPEAR,TWO_HANDED_SWORD|0.2|0.08-0.1|0.11-0.14|0.15-0.19|0.2-0.24|0.25-0.32|0.38-0.45|0.46-0.55|SUFFIX|0.824|-0.75|OffensiveIncrease
Crit Chance and Bow Attack Speed|672|Deadeye's|BOW|0.6|0.01-0.01|0.02-0.02|0.03-0.03|0.04-0.04|0.05-0.05|0.07-0.08|0.09-0.1|PREFIX|0.267|-0.76|OffensiveIncrease
